,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,3.0,4.0,8.0,,,1.0,22.0,7.0,1.0,23.0,26.0,31.0,30.0,
1,4.0,10.0,13.0,1.0,1.0,,40.0,11.0,5.0,41.0,32.0,36.0,34.0,
2,10.0,9.0,22.0,10.0,1.0,8.0,18.0,29.0,11.0,24.0,28.0,18.0,27.0,
3,4.0,23.0,22.0,16.0,6.0,16.0,17.0,24.0,13.0,6.0,12.0,11.0,7.0,
4,15.0,22.0,17.0,18.0,5.0,18.0,1.0,15.0,20.0,6.0,2.0,3.0,2.0,
5,16.0,18.0,10.0,15.0,15.0,18.0,2.0,6.0,28.0,,,1.0,,
6,16.0,8.0,6.0,19.0,13.0,17.0,,4.0,16.0,,,,,
7,16.0,4.0,2.0,11.0,20.0,8.0,,2.0,4.0,,,,,
8,8.0,1.0,,6.0,17.0,8.0,,1.0,1.0,,,,,
9,6.0,1.0,,1.0,9.0,2.0,,,,,,,,
10,2.0,,,2.0,6.0,3.0,,1.0,1.0,,,,,
11,,,,1.0,3.0,,,,,,,,,
12,,,,,4.0,,,,,,,,,
14,,,,,,1.0,,,,,,,,
26,,,,,,,,,,,,,,1.0
27,,,,,,,,,,,,,,1.0
28,,,,,,,,,,,,,,1.0
29,,,,,,,,,,,,,,1.0
30,,,,,,,,,,,,,,4.0
31,,,,,,,,,,,,,,1.0
32,,,,,,,,,,,,,,3.0
33,,,,,,,,,,,,,,5.0
34,,,,,,,,,,,,,,4.0
35,,,,,,,,,,,,,,7.0
36,,,,,,,,,,,,,,8.0
37,,,,,,,,,,,,,,13.0
38,,,,,,,,,,,,,,7.0
39,,,,,,,,,,,,,,13.0
40,,,,,,,,,,,,,,6.0
41,,,,,,,,,,,,,,2.0
42,,,,,,,,,,,,,,8.0
43,,,,,,,,,,,,,,9.0
44,,,,,,,,,,,,,,2.0
45,,,,,,,,,,,,,,1.0
46,,,,,,,,,,,,,,1.0
47,,,,,,,,,,,,,,1.0
48,,,,,,,,,,,,,,1.0
