,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,22.0,150.0,383.0,55.0,10.0,52.0,1633.0,1167.0,87.0,2884.0,2950.0,2935.0,2901.0,
1,145.0,564.0,824.0,292.0,49.0,314.0,3641.0,1566.0,385.0,3617.0,3569.0,3622.0,3562.0,
2,381.0,1179.0,1490.0,720.0,241.0,879.0,1943.0,2452.0,926.0,2222.0,2202.0,2176.0,2239.0,
3,853.0,1674.0,1929.0,1347.0,628.0,1464.0,2054.0,2233.0,1665.0,975.0,926.0,926.0,923.0,
4,1210.0,1825.0,2095.0,1776.0,1108.0,1969.0,358.0,1454.0,2401.0,230.0,265.0,266.0,289.0,
5,1523.0,1639.0,1561.0,1893.0,1589.0,1819.0,328.0,702.0,2464.0,59.0,66.0,52.0,73.0,
6,1597.0,1255.0,1016.0,1510.0,1863.0,1455.0,24.0,298.0,1454.0,11.0,19.0,20.0,10.0,
7,1508.0,851.0,473.0,1024.0,1570.0,1015.0,16.0,92.0,391.0,2.0,3.0,3.0,3.0,
8,1128.0,496.0,155.0,669.0,1241.0,585.0,1.0,26.0,152.0,,,,,
9,805.0,207.0,53.0,401.0,756.0,259.0,2.0,8.0,48.0,,,,,
10,459.0,111.0,12.0,186.0,448.0,116.0,,2.0,17.0,,,,,
11,242.0,35.0,6.0,78.0,249.0,45.0,,,7.0,,,,,
12,93.0,12.0,3.0,30.0,134.0,18.0,,,1.0,,,,,
13,31.0,2.0,,12.0,58.0,7.0,,,1.0,,,,,
14,3.0,,,5.0,31.0,3.0,,,1.0,,,,,
15,,,,1.0,20.0,,,,,,,,,
16,,,,1.0,5.0,,,,,,,,,
20,,,,,,,,,,,,,,2.0
21,,,,,,,,,,,,,,2.0
22,,,,,,,,,,,,,,4.0
23,,,,,,,,,,,,,,18.0
24,,,,,,,,,,,,,,21.0
25,,,,,,,,,,,,,,33.0
26,,,,,,,,,,,,,,57.0
27,,,,,,,,,,,,,,107.0
28,,,,,,,,,,,,,,160.0
29,,,,,,,,,,,,,,267.0
30,,,,,,,,,,,,,,362.0
31,,,,,,,,,,,,,,491.0
32,,,,,,,,,,,,,,569.0
33,,,,,,,,,,,,,,719.0
34,,,,,,,,,,,,,,776.0
35,,,,,,,,,,,,,,899.0
36,,,,,,,,,,,,,,918.0
37,,,,,,,,,,,,,,934.0
38,,,,,,,,,,,,,,834.0
39,,,,,,,,,,,,,,715.0
40,,,,,,,,,,,,,,618.0
41,,,,,,,,,,,,,,478.0
42,,,,,,,,,,,,,,359.0
43,,,,,,,,,,,,,,250.0
44,,,,,,,,,,,,,,176.0
45,,,,,,,,,,,,,,114.0
46,,,,,,,,,,,,,,54.0
47,,,,,,,,,,,,,,33.0
48,,,,,,,,,,,,,,17.0
49,,,,,,,,,,,,,,9.0
50,,,,,,,,,,,,,,2.0
52,,,,,,,,,,,,,,2.0
